Linux 3.10.0-1127.19.1.el7.x86_64 (localhost.localdomain) 	05/09/2023 	_x86_64_	(4 CPU)

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601058     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988300  37.31      0.00      0.00      0.00  |__connector
 1683601058     0         0     10209   21.00    0.00    0.00   21.00     3      5.00      0.00 3851748 2988300  37.31      0.00      0.00      0.00  |__0-M
 1683601058     0         0     10210   21.00    0.00    0.00   21.00     0      5.00      0.00 3851748 2988300  37.31      0.00      0.00      0.00  |__1-B
 1683601058     0         0     10211   25.00    0.00    0.00   25.00     1      5.00      0.00 3851748 2988300  37.31      0.00      0.00      0.00  |__2-B
 1683601058     0         0     10212   22.00    0.00    0.00   22.00     2      5.00      0.00 3851748 2988300  37.31      0.00      0.00      0.00  |__3-B
 1683601058     0         0     10238    3.00    1.00    0.00    4.00     0      0.00      0.00 3851748 2988300  37.31      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601059     0     10201         0   95.00    0.00    0.00   95.00     1     39.00      0.00 3851748 2988528  37.31      0.00      0.00      0.00  game
 1683601059     0         0     10201    0.00    0.00    0.00    0.00     1      0.00      0.00 3851748 2988528  37.31      0.00      0.00      0.00  |__game
 1683601059     0         0     10205    0.00    0.00    0.00    0.00     2      0.00      0.00 3851748 2988528  37.31      0.00      0.00      0.00  |__log_f
 1683601059     0         0     10206    1.00    0.00    0.00    1.00     2     19.00      0.00 3851748 2988528  37.31      0.00      0.00      0.00  |__timer
 1683601059     0         0     10207    0.00    0.00    0.00    0.00     2      0.00      0.00 3851748 2988528  37.31      0.00      0.00      0.00  |__net
 1683601059     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988528  37.31      0.00      0.00      0.00  |__connector
 1683601059     0         0     10209   20.00    0.00    0.00   20.00     3      5.00      0.00 3851748 2988528  37.31      0.00      0.00      0.00  |__0-M
 1683601059     0         0     10210   25.00    0.00    0.00   25.00     0      5.00      0.00 3851748 2988528  37.31      0.00      0.00      0.00  |__1-B
 1683601059     0         0     10211   25.00    0.00    0.00   25.00     1      5.00      0.00 3851748 2988528  37.31      0.00      0.00      0.00  |__2-B
 1683601059     0         0     10212   20.00    0.00    0.00   20.00     2      5.00      0.00 3851748 2988528  37.31      0.00      0.00      0.00  |__3-B
 1683601059     0         0     10238    4.00    0.00    0.00    4.00     2      0.00      0.00 3851748 2988528  37.31      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601060     0     10201         0  101.00    0.00    0.00  101.00     0     45.00      0.00 3851748 2988524  37.31      0.00      4.00      0.00  game
 1683601060     0         0     10201    0.00    1.00    0.00    1.00     0      0.00      0.00 3851748 2988524  37.31      0.00      0.00      0.00  |__game
 1683601060     0         0     10205    0.00    0.00    0.00    0.00     1      0.00      0.00 3851748 2988524  37.31      0.00      4.00      0.00  |__log_f
 1683601060     0         0     10206    0.00    1.00    0.00    1.00     3     19.00      0.00 3851748 2988524  37.31      0.00      0.00      0.00  |__timer
 1683601060     0         0     10207    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988524  37.31      0.00      0.00      0.00  |__net
 1683601060     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988524  37.31      0.00      0.00      0.00  |__connector
 1683601060     0         0     10209   21.00    0.00    0.00   21.00     2     10.00      0.00 3851748 2988524  37.31      0.00      0.00      0.00  |__0-M
 1683601060     0         0     10210   26.00    0.00    0.00   26.00     0      5.00      0.00 3851748 2988524  37.31      0.00      0.00      0.00  |__1-B
 1683601060     0         0     10211   25.00    0.00    0.00   25.00     1      5.00      0.00 3851748 2988524  37.31      0.00      0.00      0.00  |__2-B
 1683601060     0         0     10212   25.00    0.00    0.00   25.00     1      5.00      0.00 3851748 2988524  37.31      0.00      0.00      0.00  |__3-B
 1683601060     0         0     10238    3.00    0.00    0.00    3.00     3      1.00      0.00 3851748 2988524  37.31      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601061     0     10201         0   94.00    0.00    0.00   94.00     2     40.00      0.00 3851748 2988456  37.31      0.00      4.00      0.00  game
 1683601061     0         0     10201    0.00    1.00    0.00    1.00     2      0.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__game
 1683601061     0         0     10205    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988456  37.31      0.00      4.00      0.00  |__log_f
 1683601061     0         0     10206    0.00    0.00    0.00    0.00     3     20.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__timer
 1683601061     0         0     10207    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__net
 1683601061     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__connector
 1683601061     0         0     10209   21.00    0.00    0.00   21.00     1      5.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__0-M
 1683601061     0         0     10210   23.00    0.00    0.00   23.00     3      5.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__1-B
 1683601061     0         0     10211   21.00    1.00    0.00   22.00     1      5.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__2-B
 1683601061     0         0     10212   25.00    0.00    0.00   25.00     0      5.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__3-B
 1683601061     0         0     10238    3.00    0.00    0.00    3.00     2      0.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601062     0     10201         0   87.00    1.00    0.00   88.00     3     39.00      0.00 3851748 2988324  37.31      0.00      4.00      0.00  game
 1683601062     0         0     10201    1.00    0.00    0.00    1.00     3      0.00      0.00 3851748 2988324  37.31      0.00      0.00      0.00  |__game
 1683601062     0         0     10205    0.00    0.00    0.00    0.00     3      0.00      0.00 3851748 2988324  37.31      0.00      4.00      0.00  |__log_f
 1683601062     0         0     10206    0.00    0.00    0.00    0.00     3     19.00      0.00 3851748 2988324  37.31      0.00      0.00      0.00  |__timer
 1683601062     0         0     10207    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988324  37.31      0.00      0.00      0.00  |__net
 1683601062     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988324  37.31      0.00      0.00      0.00  |__connector
 1683601062     0         0     10209   18.00    0.00    0.00   18.00     1      5.00      0.00 3851748 2988324  37.31      0.00      0.00      0.00  |__0-M
 1683601062     0         0     10210   20.00    0.00    0.00   20.00     2      5.00      0.00 3851748 2988324  37.31      0.00      0.00      0.00  |__1-B
 1683601062     0         0     10211   21.00    0.00    0.00   21.00     1      5.00      0.00 3851748 2988324  37.31      0.00      0.00      0.00  |__2-B
 1683601062     0         0     10212   24.00    0.00    0.00   24.00     0      5.00      0.00 3851748 2988324  37.31      0.00      0.00      0.00  |__3-B
 1683601062     0         0     10238    4.00    0.00    0.00    4.00     3      0.00      0.00 3851748 2988324  37.31      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601063     0     10201         0  105.00    0.00    0.00  105.00     3     38.00      0.00 3851748 2988224  37.31      0.00      0.00      0.00  game
 1683601063     0         0     10201    0.00    0.00    0.00    0.00     3      0.00      0.00 3851748 2988224  37.31      0.00      0.00      0.00  |__game
 1683601063     0         0     10205    0.00    0.00    0.00    0.00     2      0.00      0.00 3851748 2988224  37.31      0.00      0.00      0.00  |__log_f
 1683601063     0         0     10206    0.00    0.00    0.00    0.00     3     18.00      0.00 3851748 2988224  37.31      0.00      0.00      0.00  |__timer
 1683601063     0         0     10207    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988224  37.31      0.00      0.00      0.00  |__net
 1683601063     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988224  37.31      0.00      0.00      0.00  |__connector
 1683601063     0         0     10209   31.00    0.00    0.00   31.00     0      5.00      0.00 3851748 2988224  37.31      0.00      0.00      0.00  |__0-M
 1683601063     0         0     10210   23.00    0.00    0.00   23.00     2      5.00      0.00 3851748 2988224  37.31      0.00      0.00      0.00  |__1-B
 1683601063     0         0     10211   25.00    0.00    0.00   25.00     1      5.00      0.00 3851748 2988224  37.31      0.00      0.00      0.00  |__2-B
 1683601063     0         0     10212   22.00    0.00    0.00   22.00     1      5.00      0.00 3851748 2988224  37.31      0.00      0.00      0.00  |__3-B
 1683601063     0         0     10238    3.00    0.00    0.00    3.00     2      0.00      0.00 3851748 2988224  37.31      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601064     0     10201         0   94.00    0.00    0.00   94.00     3     49.00      0.00 3851748 2988180  37.31      0.00      8.00      0.00  game
 1683601064     0         0     10201    1.00    0.00    0.00    1.00     3      0.00      0.00 3851748 2988180  37.31      0.00      0.00      0.00  |__game
 1683601064     0         0     10205    0.00    0.00    0.00    0.00     2      0.00      0.00 3851748 2988180  37.31      0.00      8.00      0.00  |__log_f
 1683601064     0         0     10206    0.00    0.00    0.00    0.00     3     19.00      0.00 3851748 2988180  37.31      0.00      0.00      0.00  |__timer
 1683601064     0         0     10207    0.00    0.00    0.00    0.00     3      0.00      0.00 3851748 2988180  37.31      0.00      0.00      0.00  |__net
 1683601064     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988180  37.31      0.00      0.00      0.00  |__connector
 1683601064     0         0     10209   18.00    0.00    0.00   18.00     0     15.00      0.00 3851748 2988180  37.31      0.00      0.00      0.00  |__0-M
 1683601064     0         0     10210   26.00    0.00    0.00   26.00     2      5.00      0.00 3851748 2988180  37.31      0.00      0.00      0.00  |__1-B
 1683601064     0         0     10211   26.00    0.00    0.00   26.00     1      5.00      0.00 3851748 2988180  37.31      0.00      0.00      0.00  |__2-B
 1683601064     0         0     10212   19.00    0.00    0.00   19.00     1      4.00      0.00 3851748 2988180  37.31      0.00      0.00      0.00  |__3-B
 1683601064     0         0     10238    4.00    0.00    0.00    4.00     3      1.00      0.00 3851748 2988180  37.31      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601065     0     10201         0  103.00    0.00    0.00  103.00     0     45.00      0.00 3851748 2988588  37.32      0.00      0.00      0.00  game
 1683601065     0         0     10201    1.00    0.00    0.00    1.00     0      0.00      0.00 3851748 2988588  37.32      0.00      0.00      0.00  |__game
 1683601065     0         0     10205    0.00    0.00    0.00    0.00     2      0.00      0.00 3851748 2988588  37.32      0.00      0.00      0.00  |__log_f
 1683601065     0         0     10206    0.00    0.00    0.00    0.00     3     19.00      0.00 3851748 2988588  37.32      0.00      0.00      0.00  |__timer
 1683601065     0         0     10207    0.00    0.00    0.00    0.00     3      0.00      0.00 3851748 2988588  37.32      0.00      0.00      0.00  |__net
 1683601065     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988588  37.32      0.00      0.00      0.00  |__connector
 1683601065     0         0     10209   28.00    0.00    0.00   28.00     0     10.00      0.00 3851748 2988588  37.32      0.00      0.00      0.00  |__0-M
 1683601065     0         0     10210   24.00    0.00    0.00   24.00     2      5.00      0.00 3851748 2988588  37.32      0.00      0.00      0.00  |__1-B
 1683601065     0         0     10211   22.00    0.00    0.00   22.00     1      5.00      0.00 3851748 2988588  37.32      0.00      0.00      0.00  |__2-B
 1683601065     0         0     10212   25.00    0.00    0.00   25.00     2      5.00      0.00 3851748 2988588  37.32      0.00      0.00      0.00  |__3-B
 1683601065     0         0     10238    3.00    0.00    0.00    3.00     3      1.00      0.00 3851748 2988588  37.32      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
